,City,Country,Lat,Lng,Hotel Name
31,qingdao,CN,36.09,120.35,The Westin Qingdao
32,port hardy,CA,50.7,-127.42,Quarterdeck Inn Resort & Marina
33,arman,RU,59.7,150.17,
34,mamakan,RU,57.82,114.02,
35,bethel,US,60.79,-161.76,Long House Hotel Bethel
36,clinton,US,41.84,-90.19,Holiday Inn Express & Suites Clinton
37,varhaug,NO,58.61,5.65,Huset ved havet
38,ayan,TR,40.67,33.6,
39,mayor pablo lagerenza,PY,-19.93,-60.77,
40,hermanus,ZA,-34.42,19.24,The Whale Coast Hotel
41,torbay,CA,47.66,-52.73,Hampton Inn & Suites by Hilton St. John's Airport
42,yellowknife,CA,62.45,-114.38,The Explorer Hotel
43,kruisfontein,ZA,-34.0,24.73,Humansdorp Boutique Hotel
44,puerto ayora,EC,-0.74,-90.35,Ikala
45,rosita,NI,13.92,-84.4,Hotel Terciopelo
46,beloha,MG,-25.17,45.06,
47,port elizabeth,US,39.31,-74.98,Lokal A-Frame
48,port alfred,ZA,-33.59,26.89,MyPond Hotel
49,garchitorena,PH,13.88,123.7,
50,kodiak,US,39.95,-94.76,
51,mar del plata,AR,-46.43,-67.52,Patagonia Hotel
52,taybad,IR,34.74,60.78,سه طبقه خیرخواه
53,cabo san lucas,MX,22.89,-109.91,Waldorf Astoria Los Cabos Pedregal
54,tiarei,PF,-17.53,-149.33,Le Rocher de Tahiti
55,khatanga,RU,71.98,102.47,"Gostinitsa ""Zapolyar'ye"""
56,pisco,PE,-13.71,-76.2,HOSTAL MIRAMAR
57,kolyvan,RU,55.31,82.74,
58,hofn,IS,64.25,-15.21,Hótel Höfn
59,bontang,ID,0.12,117.47,Hotel Gembira
60,sault sainte marie,CA,46.49,-84.36,"Quattro Hotel & Conf. Centre, Ascend Hotel Collection"
61,zhigansk,RU,66.77,123.37,Sberbank Rossii
62,thompson,CA,55.74,-97.86,Quality Inn & Suites Thompson
63,pevek,RU,69.7,170.27,Severnoye Zoloto
64,nanortalik,GL,60.14,-45.24,Hotel Kap Farvel
65,bilibino,RU,68.06,166.44,Profilaktoriy Baes
66,dikson,RU,73.51,80.55,
67,hambantota,LK,6.12,81.12,The Peacock Beach Hotel Hambantota
68,beja,PT,38.02,-7.87,Hotel Bejense
69,fortuna,ES,38.18,-1.13,Hotel La Fuente
70,ponta do sol,BR,-20.63,-46.0,Camaleao Hostel
71,qasigiannguit,GL,68.82,-51.19,Qasigiannguit
72,butaritari,KI,3.07,172.79,
73,virginia beach,US,36.85,-75.98,Hilton Virginia Beach Oceanfront
74,hobyo,SO,5.35,48.53,Osmani Hotel
75,saint george,GR,39.45,22.34,
76,pontes e lacerda,BR,-15.23,-59.33,Hotel Bressan
77,khor,RU,47.88,134.96,Provintsiya
78,crotone,IT,39.09,17.12,Helios Hotel
79,baglung,NP,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
80,raglan,NZ,-37.8,174.87,Raglan Harbour View Hotel
81,jamestown,AU,-33.21,138.6,Railway Hotel-Motel Jamestown
82,sur,OM,22.57,59.53,Sur Plaza Hotel
83,araouane,ML,18.9,-3.53,
84,emerald,AU,-23.53,148.16,Stay On Sullivan
85,launceston,AU,-41.43,147.14,Change Overnight
86,nikolskoye,RU,59.7,30.79,
87,ambilobe,MG,-13.19,49.05,Hotel National
88,cidreira,BR,-30.17,-50.22,Hotel Castelo
89,ternate,PH,14.29,120.72,Dalaroy Beach Resort
90,tarauaca,BR,-8.16,-70.77,Hotel Ferreira
91,bella vista,AR,-28.51,-59.05,Hotel Río Arriba
92,xichang,CN,27.88,102.25,Badiya Commercial Hotel
93,antioch,US,38.0,-121.81,Best Western Plus Delta Inn & Suites
94,najran,SA,17.54,44.22,The District Hotel Najran
95,agirish,RU,61.92,63.02,
96,mataura,NZ,-46.19,168.86,Falls Hotel
97,katsuura,JP,33.93,134.5,
98,shalinskoye,RU,55.72,93.76,Belaya Sova
99,barrow,AR,-38.31,-60.23,
100,sorong,ID,-0.86,131.25,Mariat Hotel
101,kingston,CA,44.23,-76.48,Thriftlodge Kingston
102,ketchikan,US,55.34,-131.65,Cape Fox Lodge
103,kapaa,US,22.08,-159.32,Hilton Garden Inn Kauai Wailua Bay
104,mbigou,GA,-1.9,11.91,
105,yakeshi,CN,49.28,120.73,Yakeshi Hotel
106,hilo,US,19.71,-155.08,Hilo Hawaiian Hotel
107,whitehorse,CA,60.72,-135.06,Skky Hotel
108,bonthe,SL,7.53,-12.5,Bonthe Holiday Village
109,bara,NG,10.41,10.6,
110,lompoc,US,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
111,port blair,IN,11.67,92.75,"The Tamarind Tree Hotel & Restaurant, Port Blair."
112,bredasdorp,ZA,-34.53,20.04,Rooftops Guest Cottage
113,thinadhoo,MV,0.53,72.93,
114,koumac,NC,-20.56,164.28,Hotel Karem Bay
115,faanui,PF,-16.48,-151.75,InterContinental Bora Bora Resort Thalasso Spa
116,xam nua,LA,20.42,104.04,Keochinda hotel
117,east london,ZA,-33.02,27.91,Blue Lagoon Hotel
118,sao filipe,CV,14.9,-24.5,Hotel Xaguate
119,deputatskiy,RU,69.3,139.9,Sberbank Rossii
120,chuy,UY,-33.69,-53.46,Turis Firper Hotel
121,sitka,US,37.17,-99.65,
122,forio,IT,40.73,13.86,Mezzatorre Hotel & Thermal Spa
123,russkaya polyana,RU,53.78,73.88,Лагуна
124,san felipe,CL,-32.75,-70.73,Hotel Estación San Felipe
125,arraial do cabo,BR,-22.97,-42.02,Orlanova Boutique Hotel
126,margate,AU,-43.03,147.26,
127,aklavik,CA,68.22,-135.01,Sundog Inn
128,lokosovo,RU,61.13,74.84,
129,paita,PE,-5.09,-81.11,Hotel Marina Del Bay
130,cravo norte,CO,6.3,-70.2,Hotel El Merecure
131,motygino,RU,58.18,94.69,Gostinitsa Ip Zabirov
132,west wendover,US,40.74,-114.07,Best Western Plus Wendover Inn
